+|lineitem.tbl|1|1|1|1|17|15317.00|0.04|0.02|N|O|1996-03-13|1996-02-12|1996-03-22|DELIVER IN PERSON|TRUCK|egular courts above the|
+|lineitem.tbl|1|1|1|2|36|32436.00|0.09|0.06|N|O|1996-04-12|1996-02-28|1996-04-20|TAKE BACK RETURN|MAIL|ly final dependencies: slyly bold |
+|lineitem.tbl|1|1|1|3|8|7208.00|0.10|0.02|N|O|1996-01-29|1996-03-05|1996-01-31|TAKE BACK RETURN|REG AIR|riously. regular. express dep|
+|orders.tbl|1|1|O|124828.11|1996-01-02|5-LOW|Clerk#000000951|0|nstructions sleep furiously among |
+|nation.tbl|0|ALGERIA|0| haggle. carefully final deposits detect slyly agai|
+|nation.tbl|1|ARGENTINA|1|al foxes promise slyly according to the regular accounts. bold requests alon|
+|nation.tbl|2|BRAZIL|1|y alongside of the pending deposits. carefully special packages are about the ironic forges. slyly special |
+|nation.tbl|3|CANADA|1|eas hang ironic. silent packages. slyly regular packages are furiously over the tithes. fluffily bold|
+|nation.tbl|4|EGYPT|4|y above the carefully unusual theodolites. final dugouts are quickly across the furiously regular d|
+|nation.tbl|5|ETHIOPIA|0|ven packages wake quickly. regu|
+|nation.tbl|6|FRANCE|3|refully final requests. regular. ironi|
+|nation.tbl|7|GERMANY|3|l platelets. regular accounts x-ray: unusual. regular acco|
+|nation.tbl|8|INDIA|2|ss excuses cajole slyly across the packages. deposits print aroun|
+|nation.tbl|9|INDONESIA|2| slyly express asymptotes. regular deposits haggle slyly. carefully ironic hockey players sleep blithely. carefull|
+|nation.tbl|10|IRAN|4|efully alongside of the slyly final dependencies. |
+|nation.tbl|11|IRAQ|4|nic deposits boost atop the quickly final requests? quickly regula|
+|region.tbl|0|AFRICA|lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to |
+|region.tbl|1|AMERICA|hs use ironic. even requests. s|
+|region.tbl|2|ASIA|ges. thinly even pinto beans ca|
+|region.tbl|3|EUROPE|ly final courts cajole furiously final excuse|
+|region.tbl|4|MIDDLE EAST|uickly special accounts cajole carefully blithely close requests. carefully final asymptotes haggle furiousl|
+|nation.tbl|23|UNITED KINGDOM|3|eans boost carefully special requests. accounts are. carefull|
+|lineitem.tbl|1|1|1|4|28|25228.00|0.09|0.06|N|O|1996-04-21|1996-03-30|1996-05-16|NONE|AIR|lites. fluffily even de|
+|supplier.tbl|1|Supplier#000000001| N kD4on9OM Ipw3.gf0JBoQDd7tgrzrddZ|17|27-918-335-1736|5755.94|each slyly above the careful|
+|customer.tbl|1|Customer#000000001|IVhzIApeRb ot.c.E|15|25-989-741-2988|711.56|BUILDING|to the even. regular platelets. regular. ironic epitaphs nag e|
+|nation.tbl|12|JAPAN|2|ously. final. express gifts cajole a|
